1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
371	0.050341	264.400000	1.027046	0.004016	76.1
372	0.051258	263.600000	1.029933	0.005123	73.5
373	0.046326	262.800000	1.032836	0.010578	72.7
374	0.046245	263.800000	1.029209	0.023705	73.0
375	0.045918	264.800000	1.025608	0.011706	74.0
376	0.047453	265.800000	1.022032	0.008585	77.3
377	0.045580	265.000000	1.024891	0.007163	73.4
378	0.046247	264.200000	1.027766	0.011597	72.3
379	0.047056	265.200000	1.024175	0.018150	81.4
380	0.050287	266.200000	1.020609	0.011152	71.9
381	0.046674	267.200000	1.017067	0.006661	72.8
382	0.050327	266.400000	1.019898	0.009092	72.7
383	0.047683	267.400000	1.016362	0.009743	74.9
384	0.047666	268.400000	1.012850	0.016884	72.9
385	0.045039	269.400000	1.009362	0.011208	70.9
386	0.045873	270.400000	1.005898	0.006354	72.6
387	0.050225	269.600000	1.008668	0.015807	76.1
388	0.046689	270.600000	1.005209	0.011443	73.2
389	0.045381	271.600000	1.001773	0.006656	75.6
390	0.051377	270.800000	1.004520	0.014328	72.8
391	0.046884	271.800000	1.001089	0.012006	75.4
392	0.049247	272.800000	0.997681	0.005850	77.2
393	0.046314	273.800000	0.994297	0.010906	74.8
394	0.047912	274.800000	0.990936	0.016356	75.7
395	0.047177	275.800000	0.987597	0.010669	72.3
396	0.047756	276.800000	0.984281	0.008435	73.7
397	0.047680	277.800000	0.980987	0.010673	74.0
398	0.042093	278.800000	0.977715	0.016075	72.7
399	0.040219	279.800000	0.974464	0.011043	73.9
400	0.040806	280.800000	0.971235	0.006625	72.0
401	0.038136	280.000000	0.973817	0.015572	71.1
402	0.043343	281.000000	0.970592	0.011711	74.4
403	0.044379	282.000000	0.967389	0.005867	71.9
404	0.043467	281.200000	0.969950	0.010554	75.6
405	0.037589	280.400000	0.972524	0.011090	72.1
406	0.042986	281.400000	0.969308	0.013735	72.6
407	0.039706	282.400000	0.966113	0.011256	75.3
408	0.044103	283.400000	0.962940	0.006070	72.1
409	0.043046	282.600000	0.965477	0.011798	110.1
410	0.041223	281.800000	0.968028	0.011371	65.2
411	0.044577	282.800000	0.964841	0.009663	76.0
412	0.040446	283.800000	0.961676	0.010586	72.8
413	0.041380	284.800000	0.958531	0.011036	67.7
414	0.042344	285.800000	0.955407	0.010595	74.0
415	0.040686	286.800000	0.952303	0.006941	72.3
416	0.040613	287.800000	0.949219	0.012285	71.5
417	0.040376	288.800000	0.946155	0.017386	76.3
418	0.039954	289.800000	0.943111	0.011154	74.3
419	0.041079	290.800000	0.940086	0.009246	76.2
420	0.039561	291.800000	0.937081	0.010687	72.2
421	0.038605	292.800000	0.934094	0.015091	72.8
422	0.040259	293.800000	0.931127	0.012073	70.7
423	0.040437	294.800000	0.928179	0.005725	73.2
424	0.043782	294.000000	0.930536	0.005534	75.2
425	0.041026	293.200000	0.932905	0.012308	68.6
426	0.043068	294.200000	0.929945	0.011514	74.0
427	0.042454	295.200000	0.927004	0.008769	74.8
428	0.039668	296.200000	0.924082	0.010368	72.7
429	0.041626	297.200000	0.921178	0.012746	74.8
430	0.041984	298.200000	0.918292	0.011593	75.5
431	0.041389	299.200000	0.915424	0.012791	70.7
432	0.041138	300.200000	0.912574	0.011284	75.7
433	0.044547	301.200000	0.909742	0.005110	71.9
434	0.039815	300.400000	0.912006	0.005248	83.0
435	0.040107	299.600000	0.914282	0.007410	74.3
436	0.042452	298.800000	0.916569	0.013228	72.8
437	0.041438	299.800000	0.913712	0.014250	73.1
438	0.040035	300.800000	0.910873	0.011390	77.6
439	0.039041	301.800000	0.908051	0.011866	75.2
440	0.039477	302.800000	0.905246	0.010936	74.7
441	0.041396	303.800000	0.902459	0.006274	73.7
442	0.041407	304.800000	0.899689	0.009991	76.4
443	0.040419	305.800000	0.896936	0.023170	75.0
444	0.039820	306.800000	0.894200	0.011586	75.3
445	0.037968	307.800000	0.891481	0.006583	75.7
446	0.036736	307.000000	0.893655	0.007453	74.6
447	0.040128	306.200000	0.895840	0.010325	75.8
448	0.039211	305.400000	0.898036	0.026077	77.0
449	0.040804	306.400000	0.895293	0.011452	74.2
450	0.037419	307.400000	0.892566	0.006369	79.6
451	0.043640	306.600000	0.894746	0.007017	76.6
452	0.039862	305.800000	0.896936	0.010491	74.3
453	0.039230	305.000000	0.899137	0.026874	76.2
454	0.038522	306.000000	0.896388	0.011367	74.5
455	0.041876	307.000000	0.893655	0.007152	71.5
456	0.041307	306.200000	0.895840	0.008959	74.6
457	0.040534	305.400000	0.898036	0.009869	73.4
458	0.041603	306.400000	0.895293	0.014365	74.7
459	0.040377	307.400000	0.892566	0.011718	78.2
460	0.042492	308.400000	0.889857	0.005143	75.8
461	0.039116	307.600000	0.892023	0.011786	71.1
462	0.039777	306.800000	0.894200	0.011687	71.6
463	0.039029	307.800000	0.891481	0.014674	70.4
464	0.040058	308.800000	0.888777	0.012096	75.0
465	0.040091	309.800000	0.886091	0.008514	73.0
466	0.039425	309.000000	0.888239	0.026889	76.9
467	0.041245	310.000000	0.885555	0.011582	73.0
468	0.041209	311.000000	0.882888	0.007847	71.1
